slug,title,output_path,type
gc-318abdb864d5,설해원,public/seo-images/courses/gc-318abdb864d5.png,course
gc-9a7ff16abcee,한원컨트리클럽,public/seo-images/courses/gc-9a7ff16abcee.png,course
gc-897c73dbf41b,양지파인골프클럽,public/seo-images/courses/gc-897c73dbf41b.png,course
gc-38b838344176,수원컨트리클럽,public/seo-images/courses/gc-38b838344176.png,course
gc-c2ad879f8193,한성컨트리클럽,public/seo-images/courses/gc-c2ad879f8193.png,course
gc-254a1c054bbe,골드컨트리클럽,public/seo-images/courses/gc-254a1c054bbe.png,course
gc-1475a1d902d7,남부컨트리클럽,public/seo-images/courses/gc-1475a1d902d7.png,course
gc-a53c3fecd592,신원CC,public/seo-images/courses/gc-a53c3fecd592.png,course
gc-120c785ee7a3,은화삼컨트리클럽,public/seo-images/courses/gc-120c785ee7a3.png,course
gc-25de9ff08a30,아시아나컨트리클럽,public/seo-images/courses/gc-25de9ff08a30.png,course
gc-0086afc84101,코리아컨트리클럽,public/seo-images/courses/gc-0086afc84101.png,course
gc-20c1df4aa8fb,지산컨트리클럽,public/seo-images/courses/gc-20c1df4aa8fb.png,course
gc-ab63350a5577,화산컨트리클럽,public/seo-images/courses/gc-ab63350a5577.png,course
gc-8b59a320f132,한림용인CC,public/seo-images/courses/gc-8b59a320f132.png,course
gc-748b687096d1,글렌로스 골프클럽,public/seo-images/courses/gc-748b687096d1.png,course
gc-928514cac4c6,용인CC,public/seo-images/courses/gc-928514cac4c6.png,course
gc-c45d3f5d316d,써닝포인트 컨트리클럽,public/seo-images/courses/gc-c45d3f5d316d.png,course
gc-f4bb9638f567,해솔리아 컨트리클럽,public/seo-images/courses/gc-f4bb9638f567.png,course
gc-af63c289d999,세현CC,public/seo-images/courses/gc-af63c289d999.png,course
gc-3b60b2dadb3f,뉴코리아 컨트리클럽,public/seo-images/courses/gc-3b60b2dadb3f.png,course
gc-18640b625b94,올림픽 골프장,public/seo-images/courses/gc-18640b625b94.png,course
gc-41b5c15f44da,일산스프링힐스 컨트리클럽,public/seo-images/courses/gc-41b5c15f44da.png,course
gc-1faa083d0616,한양파인컨트리클럽,public/seo-images/courses/gc-1faa083d0616.png,course
gc-210de13c89f8,남서울컨트리클럽,public/seo-images/courses/gc-210de13c89f8.png,course
gc-4731f8c98a6d,리베라컨트리클럽,public/seo-images/courses/gc-4731f8c98a6d.png,course
gc-7701abd77260,기흥컨트리클럽,public/seo-images/courses/gc-7701abd77260.png,course
gc-ee03e5ddbe9f,라비돌컨트리클럽,public/seo-images/courses/gc-ee03e5ddbe9f.png,course
gc-5ec5b76d3c22,화성골프클럽,public/seo-images/courses/gc-5ec5b76d3c22.png,course
gc-c77232b99bd6,링크나인골프클럽,public/seo-images/courses/gc-c77232b99bd6.png,course
gc-24a9087d99d6,양주 컨트리클럽,public/seo-images/courses/gc-24a9087d99d6.png,course
gc-7471c8142b1e,비전힐스CC,public/seo-images/courses/gc-7471c8142b1e.png,course
gc-01a5e4501db9,해비치 컨트리클럽,public/seo-images/courses/gc-01a5e4501db9.png,course
gc-29fa36946d15,남양주CC,public/seo-images/courses/gc-29fa36946d15.png,course
gc-5e74f5c1f4b5,제일컨트리클럽,public/seo-images/courses/gc-5e74f5c1f4b5.png,course
gc-df2b984b36c9,솔트베이 골프클럽,public/seo-images/courses/gc-df2b984b36c9.png,course
gc-d5533edff8e8,아세코밸리골프클럽,public/seo-images/courses/gc-d5533edff8e8.png,course
gc-962dc7cafd46,서서울 컨트리클럽,public/seo-images/courses/gc-962dc7cafd46.png,course
gc-0ab02fc6c813,서원밸리 골프장,public/seo-images/courses/gc-0ab02fc6c813.png,course
gc-fabeaa53a815,서원힐스 골프장,public/seo-images/courses/gc-fabeaa53a815.png,course
gc-d5cd483c8c94,노스팜 컨트리클럽,public/seo-images/courses/gc-d5cd483c8c94.png,course
gc-d0e431ff250c,스마트KU 골프 파빌리온,public/seo-images/courses/gc-d0e431ff250c.png,course
gc-e04bb1d7bba9,남촌컨트리클럽,public/seo-images/courses/gc-e04bb1d7bba9.png,course
gc-b37c66474de6,이스트밸리CC,public/seo-images/courses/gc-b37c66474de6.png,course
gc-bed5fc0dc1f2,그린힐 컨트리클럽,public/seo-images/courses/gc-bed5fc0dc1f2.png,course
