id,name,region,city,address,latitude,longitude,phone,homepage_url,booking_url,hole_count,course_type,weekday_green_fee_min,weekend_green_fee_min,caddie_fee,cart_fee,night_round,no_caddie,two_player_allowed,resort,tags,image_url,description,business_status,source,updated_at,created_at
gc-254a1c054bbe,골드컨트리클럽,경기,용인시,경기도 용인시 기흥구 기흥단지로 398,37.217404056926,127.138614334162,,,,36,회원제,,,,,false,false,false,false,{},,골드컨트리클럽은(는) 경기 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-0f218a599984,국가보훈부 88골프장,경기,용인시,경기도 용인시 기흥구 석성로 521번길 169,37.306732671299,127.160462250868,,,,36,회원제,,,,,false,false,false,false,{},,국가보훈부 88골프장은(는) 경기 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-e684f84c8fa4,레이크사이드CC(대중제),경기,용인시,경기도 용인시 처인구 모현읍 능원로 181,37.3241166580753,127.175268275755,,,,36,대중제,,,,,false,false,false,false,{},,레이크사이드CC(대중제)은(는) 경기 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-588d348bc962,레이크사이드CC(회원제),경기,용인시,경기도 용인시 처인구 모현읍 능원로 181,37.3241166580753,127.175268275755,,,,18,회원제,,,,,false,false,false,false,{},,레이크사이드CC(회원제)은(는) 경기 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-1475a1d902d7,남부컨트리클럽,경기,용인시,경기도 용인시 기흥구 사은로 163,37.2676071141644,127.118628245742,,,,18,회원제,,,,,false,false,false,false,{},,남부컨트리클럽은(는) 경기 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-a53c3fecd592,신원CC,경기,용인시,경기도 용인시 이동읍 이원로 225,37.1818091297286,127.241377177765,,,,27,회원제,,,,,false,false,false,false,{},,신원CC은(는) 경기 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-120c785ee7a3,은화삼컨트리클럽,경기,용인시,경기도 용인시 처인구 백옥대로 860-38,37.2153647111834,127.218965499884,,,,18,회원제,,,,,false,false,false,false,{},,은화삼컨트리클럽은(는) 경기 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-25de9ff08a30,아시아나컨트리클럽,경기,용인시,경기도 용인시 처인구 양지면 양대로 290,37.2546997034963,127.292670608818,,,,36,회원제,,,,,false,false,false,false,{},,아시아나컨트리클럽은(는) 경기 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-0c833ff6d95f,블루원용인CC(회원제),경기,용인시,경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,37.134173221852,127.325900163183,,,,18,회원제,,,,,false,false,false,false,{},,블루원용인CC(회원제)은(는) 경기 지역의 회원제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
gc-2ef4e18d677b,블루원용인CC(비회원제),경기,용인시,경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,37.134173221852,127.325900163183,,,,9,대중제,,,,,false,false,false,false,{},,블루원용인CC(비회원제)은(는) 경기 지역의 대중제 골프장입니다.,,public_data,2026-06-18T01:00:04.006Z,2026-06-18T01:00:04.006Z
