row_index,id,name,change_name_to,primary_search_term,fallback_search_term,existing_price_min,existing_price_max,will_crawl,reason
55,gc-b768a2002431,메이플비치골프&리조트,메이플비치골프앤리조트 CC,메이플비치골프앤리조트,메이플비치골프&리조트,120000,180000,yes,included_in_csv_row_order_even_with_existing_price
56,gc-e6edfdd39527,O2리조트 퍼블릭골프장,오투리조트CC,오투리조트,O2리조트 퍼블릭골프장,100000,150000,yes,included_in_csv_row_order_even_with_existing_price
57,gc-fac50b03683e,벨라45 오너스 컨트리클럽,벨라45 컨트리클럽,벨라45,벨라45 오너스 컨트리클럽,150000,230000,yes,included_in_csv_row_order_even_with_existing_price
58,gc-11423b427515,용평리조트골프클럽,,용평리조트,용평리조트골프클럽,,,yes,included_in_csv_row_order
59,gc-1e4b4a02117e,용평버치힐골프클럽,,용평버치힐,용평버치힐골프클럽,,,yes,included_in_csv_row_order
60,gc-07cd3007c683,용평리조트대중골프장,,용평리조트대중,용평리조트대중골프장,,,yes,included_in_csv_row_order
61,gc-4af8a2f8ed32,플라자CC,플라자CC 용인,플라자CC 용인,플라자CC,220000,290000,yes,included_in_csv_row_order_even_with_existing_price
62,gc-9da6f2a0f2d9,태광컨트리클럽(회원제),태광CC(회원제),태광,태광컨트리클럽(회원제),260000,300000,yes,included_in_csv_row_order_even_with_existing_price
63,gc-3d63d3179c0f,태광컨트리클럽(대중제),태광CC(퍼블릭),태광,태광컨트리클럽(대중제),199000,259000,yes,included_in_csv_row_order_even_with_existing_price
64,gc-0f218a599984,국가보훈부 88골프장,88CC,88,국가보훈부 88골프장,210000,260000,yes,included_in_csv_row_order_even_with_existing_price
65,gc-588d348bc962,레이크사이드CC(회원제),레이크사이드CC(회원제),레이크사이드,레이크사이드CC(회원제),,,yes,included_in_csv_row_order
66,gc-2ef4e18d677b,블루원용인CC(비회원제),블루원용인CC(퍼블릭),블루원용인,블루원용인CC(비회원제),,,yes,included_in_csv_row_order
67,gc-4487ee52808c,코리아대중CC,코리아퍼블릭CC,코리아퍼블릭,코리아대중CC,55000,80000,yes,included_in_csv_row_order_even_with_existing_price
68,gc-4687a4044d34,지산퍼블릭,지산퍼블릭,지산퍼블릭,지산퍼블릭,50000,65000,yes,included_in_csv_row_order_even_with_existing_price
69,gc-8fbc2ee961a0,고양컨트리클럽,고양컨트리클럽,고양,고양컨트리클럽,,,yes,included_in_csv_row_order
70,gc-a80360466b97,1·2·3 골프장,123골프클럽,123,1·2·3 골프장,,,yes,included_in_csv_row_order
71,gc-ccb45b4f27e1,발리오스컨트리클럽(회원제),발리오스CC(회원제),발리오스,발리오스컨트리클럽(회원제),230000,300000,yes,included_in_csv_row_order_even_with_existing_price
72,gc-2db2d6cad688,발리오스컨트리클럽(비회원제),"발리오스CC(퍼블릭, 남코스)",발리오스,발리오스컨트리클럽(비회원제),115000,150000,yes,included_in_csv_row_order_even_with_existing_price
73,gc-4905c6ca9b75,화성 상록G.C,화성상록GC,화성상록,화성 상록G.C,,,yes,included_in_csv_row_order
