id,name,price_text,price_min,price_max,price_type,difficulty,avg_score,source_url,confidence,needs_check,note
gc-a043a2488af5,클린밸리CC,"네이버 예약: 134,000원",134000,134000,reservation_price,6.1,92.0,https://search.naver.com/search.naver?where=nexearch&query=%ED%81%B4%EB%A6%B0%EB%B0%B8%EB%A6%ACCC,high,y,
gc-80a626b2053e,엘리체CC,,,,unknown,2.9,90.7,https://search.naver.com/search.naver?where=nexearch&query=%EC%97%98%EB%A6%AC%EC%B2%B4CC,high,y,
gc-e50b3c8c38c0,베르힐컨트리클럽,,,,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EB%B2%A0%EB%A5%B4%ED%9E%90%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,medium,y,
gc-cc31ca848991,웨스트오션CC,"네이버 예약: 115,000원; 120,000원; 130,000원",115000,130000,reservation_price,4.7,91.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%9B%A8%EC%8A%A4%ED%8A%B8%EC%98%A4%EC%85%98CC,high,y,
gc-db3f5634c5ee,백양우리CC,"네이버 예약: 130,000원",130000,130000,reservation_price,6.9,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%B0%B1%EC%96%91%EC%9A%B0%EB%A6%ACCC,high,y,
gc-0b047be49f03,전주월드컵골프장,,,,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B3%A8%ED%94%84%EC%9E%A5,high,y,
gc-e66e37a5892a,익산컨트리클럽,,,,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EC%9D%B5%EC%82%B0%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,medium,y,
gc-11d936495fd4,포세븐금강컨트리클럽,"네이버 예약: 160,000원; 170,000원; 190,000원",160000,190000,reservation_price,5.1,92.0,https://search.naver.com/search.naver?where=nexearch&query=%ED%8F%AC%EC%84%B8%EB%B8%90%EA%B8%88%EA%B0%95%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,y,
gc-db9ee81a1a70,내장산골프&리조트,"네이버 예약: 180,000원",180000,180000,reservation_price,8.1,93.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%82%B4%EC%9E%A5%EC%82%B0%EA%B3%A8%ED%94%84%26%EB%A6%AC%EC%A1%B0%ED%8A%B8,high,y,
gc-555dca97c252,남원상록골프장,"네이버 예약: 150,000원",150000,150000,reservation_price,5.6,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%82%A8%EC%9B%90%EC%83%81%EB%A1%9D%EA%B3%A8%ED%94%84%EC%9E%A5,high,y,
gc-93d79516b4dd,아네스빌CC,,,,unknown,3.4,91.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%95%84%EB%84%A4%EC%8A%A4%EB%B9%8CCC,high,y,
gc-8cda6b72d361,김제스파힐스CC,"네이버 예약: 160,000원",160000,160000,reservation_price,3.9,91.0,https://search.naver.com/search.naver?where=nexearch&query=%EA%B9%80%EC%A0%9C%EC%8A%A4%ED%8C%8C%ED%9E%90%EC%8A%A4CC,high,y,
gc-51bc2ed864d2,더나인골프클럽,"네이버 예약: 119,000원; 129,000원; 139,000원",119000,139000,reservation_price,4.8,91.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%8D%94%EB%82%98%EC%9D%B8%EA%B3%A8%ED%94%84%ED%81%B4%EB%9F%BD,high,y,
gc-3dc796a63edd,OKCC,,,,unknown,7.5,93.0,https://search.naver.com/search.naver?where=nexearch&query=OKCC,high,y,
gc-af220a47e9ad,써미트CC,,,,unknown,8.1,93.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%8D%A8%EB%AF%B8%ED%8A%B8CC,high,y,
gc-dede5bb789cf,무주덕유산CC,"네이버 예약: 180,000원",180000,180000,reservation_price,6.0,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%AC%B4%EC%A3%BC%EB%8D%95%EC%9C%A0%EC%82%B0CC,high,y,
gc-6d636874e191,장수골프리조트,"네이버 예약: 150,400원",150400,150400,reservation_price,6.5,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%9E%A5%EC%88%98%EA%B3%A8%ED%94%84%EB%A6%AC%EC%A1%B0%ED%8A%B8,high,y,
gc-a2c85434539e,전주샹그릴라CC,"네이버 예약: 175,000원; 180,000원",175000,180000,reservation_price,4.2,91.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%A0%84%EC%A3%BC%EC%83%B9%EA%B7%B8%EB%A6%B4%EB%9D%BCCC,high,y,
gc-e6f654f8efb6,고창CC,,,,unknown,2.6,90.0,https://search.naver.com/search.naver?where=nexearch&query=%EA%B3%A0%EC%B0%BDCC%20%EC%A0%84%EB%B6%81%ED%8A%B9%EB%B3%84%EC%9E%90%EC%B9%98%EB%8F%84,high,y,
gc-8f5c8d0f5d46,석정힐CC,"네이버 예약: 140,000원; 175,000원; 185,000원",140000,185000,reservation_price,4.8,91.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9D%EC%A0%95%ED%9E%90CC,high,y,
